Data1,,,Data2,,,Data3,,,Data4,,,Data5,
Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) 
17.17570364,0,,,,,,,,,,,,
17.25576805,0,,,,,,,,,,,,
17.37395836,0,,,,,,,,,,,,
17.47689831,0,,,,,,,,,,,,
17.56077531,0,,,,,,,,,,,,
17.65227749,0,,,,,,,,,,,,
17.74377967,0,,,,,,,,,,,,
17.85053221,0,,,,,,,,,,,,
17.95728475,0,,,,,,,,,,,,
18.0640373,0,,,,,,,,,,,,
18.17078984,0,,,,,,,,,,,,
18.26229202,0,,,,,,,,,,,,
18.34235643,0,,,,,,,,,,,,
18.41098306,0,,,,,,,,,,,,
18.52536079,0,,,,,,,,,,,,
18.65117628,0,,,,,,,,,,,,
18.73505328,0,,,,,,,,,,,,
18.81511769,0,,,,,,,,,,,,
18.90280728,0,,,,,,,,,,,,
19.00574723,0,,,,,,,,,,,,
19.09724941,0,,,,,,,,,,,,
19.21925231,0,,,,,,,,,,,,
19.32600485,0,,,,,,,,,,,,
19.42513222,0,,,,,,,,,,,,
19.50138403,0,,,,,,,,,,,,
19.56238549,0,,,,,,,,,,,,
19.63101212,0,,,,,,,,,,,,
19.73395207,0,,,,,,,,,,,,
19.78732834,0,,,,,,,,,,,,
19.87501793,0,,,,,,,,,,,,
